      Step     Time          Energy          fmax
BFGS:    0 20:10:26      -57.116011        0.093102
BFGS:    1 20:10:26      -57.116574        0.089205
BFGS:    2 20:10:27      -57.125285        0.048773
BFGS:    3 20:10:28      -57.125593        0.049920
BFGS:    4 20:10:28      -57.130627        0.054313
BFGS:    5 20:10:28      -57.132501        0.044341
BFGS:    6 20:10:28      -57.133412        0.033070
BFGS:    7 20:10:28      -57.133624        0.030310
BFGS:    8 20:10:28      -57.134020        0.027477
BFGS:    9 20:10:28      -57.134743        0.028094
BFGS:   10 20:10:28      -57.135732        0.034384
BFGS:   11 20:10:28      -57.136463        0.035328
BFGS:   12 20:10:28      -57.136746        0.029795
BFGS:   13 20:10:28      -57.136894        0.024924
BFGS:   14 20:10:28      -57.137142        0.022478
BFGS:   15 20:10:28      -57.137543        0.020994
BFGS:   16 20:10:28      -57.137964        0.019479
BFGS:   17 20:10:28      -57.138175        0.015644
BFGS:   18 20:10:28      -57.138236        0.011884
BFGS:   19 20:10:28      -57.138265        0.009974
BFGS:   20 20:10:28      -57.138319        0.009921
BFGS:   21 20:10:28      -57.138413        0.008815
BFGS:   22 20:10:28      -57.138525        0.010091
BFGS:   23 20:10:28      -57.138595        0.009373
BFGS:   24 20:10:28      -57.138621        0.010860
BFGS:   25 20:10:28      -57.138642        0.010851
BFGS:   26 20:10:28      -57.138685        0.009837
BFGS:   27 20:10:28      -57.138770        0.009616
BFGS:   28 20:10:28      -57.138899        0.013005
BFGS:   29 20:10:28      -57.139016        0.012140
BFGS:   30 20:10:28      -57.139073        0.011878
BFGS:   31 20:10:28      -57.139099        0.011943
BFGS:   32 20:10:28      -57.139129        0.011415
BFGS:   33 20:10:28      -57.139188        0.009728
BFGS:   34 20:10:28      -57.139268        0.010355
BFGS:   35 20:10:28      -57.139329        0.008935
BFGS:   36 20:10:28      -57.139353        0.010366
BFGS:   37 20:10:29      -57.139365        0.009756
BFGS:   38 20:10:29      -57.139384        0.008165
BFGS:   39 20:10:29      -57.139423        0.008625
BFGS:   40 20:10:29      -57.139481        0.009067
BFGS:   41 20:10:29      -57.139532        0.006413
BFGS:   42 20:10:29      -57.139555        0.005670
BFGS:   43 20:10:29      -57.139563        0.005384
BFGS:   44 20:10:29      -57.139572        0.004877
BFGS:   45 20:10:29      -57.139592        0.005420
BFGS:   46 20:10:29      -57.139627        0.007548
BFGS:   47 20:10:29      -57.139670        0.007253
BFGS:   48 20:10:29      -57.139697        0.008318
BFGS:   49 20:10:29      -57.139708        0.008220
BFGS:   50 20:10:29      -57.139715        0.007435
BFGS:   51 20:10:29      -57.139728        0.005795
BFGS:   52 20:10:29      -57.139749        0.004527
BFGS:   53 20:10:29      -57.139774        0.004519
BFGS:   54 20:10:29      -57.139788        0.003684
BFGS:   55 20:10:29      -57.139792        0.003525
BFGS:   56 20:10:29      -57.139794        0.003322
BFGS:   57 20:10:29      -57.139799        0.002993
BFGS:   58 20:10:29      -57.139808        0.003734
BFGS:   59 20:10:29      -57.139824        0.005003
BFGS:   60 20:10:29      -57.139842        0.005034
BFGS:   61 20:10:29      -57.139851        0.004288
BFGS:   62 20:10:29      -57.139855        0.003854
BFGS:   63 20:10:29      -57.139859        0.003815
BFGS:   64 20:10:29      -57.139867        0.004600
BFGS:   65 20:10:29      -57.139882        0.004885
BFGS:   66 20:10:29      -57.139901        0.003748
BFGS:   67 20:10:29      -57.139914        0.003685
BFGS:   68 20:10:29      -57.139919        0.003522
BFGS:   69 20:10:29      -57.139921        0.003111
BFGS:   70 20:10:29      -57.139924        0.002690
BFGS:   71 20:10:29      -57.139931        0.002892
BFGS:   72 20:10:29      -57.139941        0.002579
BFGS:   73 20:10:29      -57.139950        0.002178
BFGS:   74 20:10:29      -57.139954        0.002008
BFGS:   75 20:10:30      -57.139955        0.001984
BFGS:   76 20:10:30      -57.139956        0.001875
BFGS:   77 20:10:30      -57.139957        0.001910
BFGS:   78 20:10:30      -57.139961        0.001993
BFGS:   79 20:10:30      -57.139966        0.001990
BFGS:   80 20:10:30      -57.139971        0.001597
BFGS:   81 20:10:30      -57.139974        0.001105
BFGS:   82 20:10:30      -57.139974        0.000885
BFGS:   83 20:10:30      -57.139974        0.000916
BFGS:   84 20:10:30      -57.139975        0.000925
BFGS:   85 20:10:30      -57.139975        0.000864
BFGS:   86 20:10:30      -57.139977        0.000910
BFGS:   87 20:10:30      -57.139978        0.000710
BFGS:   88 20:10:30      -57.139979        0.000559
BFGS:   89 20:10:30      -57.139979        0.000574
BFGS:   90 20:10:30      -57.139979        0.000563
BFGS:   91 20:10:30      -57.139979        0.000529
BFGS:   92 20:10:30      -57.139979        0.000442
